,kor_name,eng_name
0,무신사 스탠다드,musinsastandard
1,아디다스,adidas
2,닉앤니콜,nick&nicole
3,무신사 스탠다드 우먼,musinsastandardwoman
4,노스페이스,thenorthface
5,디미트리블랙,dimitriblack
6,마뗑킴,matinkim
7,나이키,nike
8,트릴리온,trillion
9,코드그라피,codegraphy
10,굿라이프웍스,glw
11,키뮤어,kiimuir
12,필루미네이트,filluminate
13,킨,keen
14,토피,toffee
15,어반드레스,avandress
16,마리떼,marithé
17,예일,yale
18,폴로 랄프 로렌,poloralphlauren
19,라퍼지스토어,lafudgestore
20,에이치덱스,hdex
21,뉴발란스,newbalance
22,디스이즈네버댓,thisisneverthat
23,캘빈클라인 진,calvinkleinjeans
24,어게인스트 올 오즈,againstallodds
25,닥터마틴,dr.martens
26,트래블,travel
27,제로,xero
28,브라운브레스,brownbreath
29,아웃스탠딩,outstanding
30,브렌슨,brenson
31,수아레,suare
32,에잇세컨즈,8seconds
33,커버낫,covernat
34,엄브로,umbro
35,반스,vans
36,드로우핏,drawfit
37,스컬프터,sculptor
38,어반디타입,urbandtype
39,꼼파뇨,cpgnstudio
40,파르티멘토,partimento
41,라퍼지 포 우먼,lafudgeforwoman
42,리,lee
43,가까이 유니언즈,gakkaiunions
44,스파오,spao
45,살로몬,salomon
46,와릿이즌,whatitisnt
47,컨버스,converse
48,호카,hoka
49,라이크더모스트,likethemost
50,비터셀즈,bittercells
51,아식스,asics
52,엠엘비,mlb
53,엘리메노,elimeno
54,리메인세컨드,lemainsecond
55,세터,satur
56,슬로우애시드,slowacid
57,에스피오나지,espionage
58,유니폼브릿지,uniformbridge
59,론론,ronron
60,푸마,puma
61,피지컬 에듀케이션 디파트먼트,physicaleducationdepartment
62,노매뉴얼,nomanual
63,시그니처,signature
64,지오다노,giordano
65,디키즈,dickies
66,락피쉬웨더웨어,rockfishweatherwear
67,소버먼트,soverment
68,낫포너드,not4nerd
69,언더오프,underoff
70,잔스포츠,jansport
71,오드스튜디오,oddstudio
72,스탠드오일,standoil
73,무신사 스탠다드 스포츠,musinsastandardsports
74,퍼스텝,perstep
75,언탭트 스튜디오,untappedstudio
76,에이이에이이,aeae
77,에즈카톤,ezkaton
78,디스커버리 익스페디션,discoveryexpedition
79,파르티멘토 우먼,partimentowomen
80,크록스,crocs
81,나인제트,ninez
82,제너럴아이디어,generalidea
83,제멋,jemut
84,그라미치,gramicci
85,휠라,fila
86,더콜디스트모먼트,thecoldestmoment
87,허그본,hugvone
88,우포스,oofos
89,엑스톤즈,xtonz
90,데상트,descente
91,어널러코드,anolorcode
92,맥우드건,magoodgan
93,엘엠씨,lmc
94,슈퍼서브,supersub
95,1989스탠다드,1989standard
96,썸플레이스,someplace
97,더블유브이프로젝트,wvproject
98,러브이즈트루,luvistrue
99,리복,reebok
